trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
129,False,"{'a': 0.5, 'e': 0.9795608083181417}",30,0,-118.92462722533914,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
130,False,"{'a': 0.5, 'e': 0.979243798419014}",20,0,-105.01342692965434,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
131,False,"{'a': 0.5, 'e': 0.9789243747823434}",20,0,-118.85807599726299,"{0: 8, 1: 4, 2: 7, 3: 0, 4: 1}",0
132,False,"{'a': 0.5, 'e': 0.9786025381954769}",30,0,-116.58742385616455,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
133,False,"{'a': 0.5, 'e': 0.9782782894517097}",25,7,-49.26431834746371,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 1}",1
134,False,"{'a': 0.5, 'e': 0.977951629350282}",25,9,-91.77014002623598,"{0: 7, 1: 4, 2: 2, 3: 3, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.9776225586963783}",20,0,-77.89250750172349,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
136,False,"{'a': 0.5, 'e': 0.9772910783011246}",30,0,-196.872822273371,"{0: 18, 1: 2, 2: 5, 3: 2, 4: 3}",0
137,False,"{'a': 0.5, 'e': 0.9769571889815868}",20,0,-44.219080966416996,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
138,False,"{'a': 0.5, 'e': 0.9766208915607686}",25,0,-141.30335418100245,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
139,False,"{'a': 0.5, 'e': 0.9762821868676093}",20,0,-169.48723801789578,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
140,False,"{'a': 0.5, 'e': 0.9759410757369817}",20,0,-74.20445333456858,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
141,False,"{'a': 0.5, 'e': 0.9755975590096908}",25,0,-64.67346837763698,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
142,False,"{'a': 0.5, 'e': 0.9752516375324707}",30,0,-195.4607212681398,"{0: 18, 1: 1, 2: 7, 3: 1, 4: 3}",0
143,False,"{'a': 0.5, 'e': 0.9749033121579829}",25,0,-45.32199418813408,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
144,False,"{'a': 0.5, 'e': 0.9745525837448147}",25,15,-34.62363295230009,"{0: 5, 1: 1, 2: 4, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.9741994531574761}",30,0,-109.19100703221751,"{0: 23, 1: 0, 2: 5, 3: 0, 4: 2}",0
146,False,"{'a': 0.5, 'e': 0.9738439212663987}",20,2,-35.727173748339176,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.9734859889479329}",25,0,-112.58948075877012,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
148,False,"{'a': 0.5, 'e': 0.9731256570843458}",25,0,-174.50611414511945,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
149,False,"{'a': 0.5, 'e': 0.9727629265638192}",20,0,-61.554748787394594,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 0}",0
150,False,"{'a': 0.5, 'e': 0.9723977982804476}",20,0,-121.18688664572565,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
151,False,"{'a': 0.5, 'e': 0.9720302731342352}",20,0,-87.20107877224436,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
152,False,"{'a': 0.5, 'e': 0.9716603520310948}",20,1,-33.835604975725325,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.9712880358828445}",30,0,-104.14706102144854,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
154,False,"{'a': 0.5, 'e': 0.9709133256072064}",30,0,-145.30800181712655,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
155,False,"{'a': 0.5, 'e': 0.9705362221278037}",20,0,6.661792369197275,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
156,False,"{'a': 0.5, 'e': 0.9701567263741583}",20,0,-45.437212319109825,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
157,False,"{'a': 0.5, 'e': 0.9697748392816894}",20,5,-48.34645509765697,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
158,False,"{'a': 0.5, 'e': 0.96939056179171}",25,0,-73.03963053102508,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
159,False,"{'a': 0.5, 'e': 0.9690038948514258}",30,0,-195.7242607571776,"{0: 15, 1: 5, 2: 6, 3: 2, 4: 2}",0
160,False,"{'a': 0.5, 'e': 0.9686148394139318}",25,0,-158.5837784890043,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
161,False,"{'a': 0.5, 'e': 0.9682233964382104}",20,0,-69.96236977123611,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
162,False,"{'a': 0.5, 'e': 0.9678295668891295}",25,0,-114.01094546480014,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
